date,close,high,low,open,volume,sma_50,sma_200,rsi,macd_line,macd_signal,macd_hist,vol_avg_20,vol_ratio,price_to_sma50,price_to_sma200,sma50_to_sma200,macd_to_price,daily_return,high_to_close,low_to_close,label,ticker
2024-02-15,182.20181274414062,182.82613576875198,179.71445525689393,181.8946109768474,65434500,188.1526885986328,181.27957580566405,40.00152330710567,-1.010925233852646,-0.5074264752017394,-0.5034987586509065,56072100.0,1.1669707394586613,0.9683720923744726,1.0050873736568384,1.0379144355475374,-0.0055483818663881876,-0.0015748002527172789,1.0034265467242527,0.9863483384177982,0,AAPL
2024-02-15,429.22235107421875,429.6866327349951,426.0810263616753,428.63953454621475,38796100,407.87480102539064,370.45210845947264,63.28616061878295,6.387100949328101,6.587675767860951,-0.20057481853284997,44429130.0,0.8732131374168254,1.0523384871905808,1.1586446433228375,1.1010189757632654,0.014880634555360513,0.0029778221493261814,1.0010816809973069,0.9926813580311425,0,QQQ
2024-02-15,141.59967041015625,142.34352240728126,139.30860868040443,141.96663255261817,37590700,140.12585571289063,130.16766410827637,46.57139684093311,0.8959650326114001,1.4448555114358486,-0.5488904788244484,32976560.0,1.1399218111288745,1.0105177926640847,1.0878252397029302,1.0765028063830877,0.00632745139883558,-0.021721241224627374,1.0052532042975126,0.9838201478639353,0,GOOGL
2024-02-15,480.26116943359375,484.8154264310746,468.5431287071876,471.5793000388415,24212300,378.31518127441404,314.32018089294434,75.97577664660345,29.050593280172677,26.06240242997151,2.9881908502011676,23746720.0,1.0196060761233552,1.2694736907352189,1.5279361575487511,1.2035981278697025,0.060489157002707745,0.02271387948959691,1.0094828757504006,0.9756006908902793,0,META
2024-02-15,287.7158508300781,287.774980269258,283.84272218373815,287.1245263622677,3986500,266.4583572387695,224.0885636138916,63.417653410881286,6.027506269703849,6.706502040022983,-0.6789957703191334,4865340.0,0.8193671973592801,1.0797779203159317,1.2839381278101163,1.189076108756187,0.020949510610257027,0.009648765364340006,1.0002055133181202,0.986538354994465,1,CRM
2024-02-15,72.61360931396484,73.92980608164119,72.35577132172895,73.82387565740021,420122000,56.36808433532715,46.00125780105591,77.55969721563116,4.938673095953405,4.565039150847351,0.37363394510605374,481730300.0,0.8721103903989431,1.2882043122486648,1.5785135621291224,1.2253596321019136,0.06801305075746474,-0.016806701854951922,1.0181260342256975,0.996449178126912,1,NVDA
2024-02-15,84.0,84.05000305175781,79.5999984741211,80.23999786376953,15483200,78.86000015258789,64.92945001602173,53.57854099844213,1.573529909082012,1.8805977537560743,-0.30706784467406223,12370945.0,1.2515777897323124,1.0651787958086054,1.2937118669459313,1.2145490241042964,0.018732498917643,0.04127930961496662,1.0005952744256883,0.9476190294538226,0,SHOP
2024-02-15,169.8000030517578,171.1699981689453,167.58999633789062,170.5800018310547,49855200,155.95319915771483,136.90295021057128,61.1279059776009,4.924242625663993,4.72144672478685,0.20279590087714272,52760545.0,0.9449333777731068,1.0887882003628522,1.240294696283662,1.139151485909122,0.02900025051332304,-0.006901349311422389,1.0080682867642228,0.9869846485621467,0,AMZN
2024-02-15,176.75999450683594,180.5,175.25999450683594,179.13999938964844,51126400,153.88739929199218,120.65744972229004,61.33944718902146,5.9185663770023496,6.8565024584954255,-0.937936081493076,87358335.0,0.5852492495421301,1.1486320213355765,1.464973732775504,1.2754073589835149,0.03348363069095625,-0.010856197395281098,1.021158664909437,0.99151391691211,1,AMD
2024-02-15,496.6629333496094,497.49248012209375,491.8190995190603,493.28753814424095,2292100,500.0883264160156,481.7476110839844,53.17724625265172,-1.1956285959979027,-3.1368685631947084,1.9412399671968057,4441575.0,0.5160556784473976,0.9931504238642102,1.0309608639927947,1.0380712117923379,-0.0024073239932247566,0.007621870996126212,1.0016702409557519,0.9902472411261272,0,UNH
2024-02-15,276.82745361328125,276.96536894169213,273.4579840015479,273.54665029836144,4834800,261.64141662597655,239.9671704864502,68.13341786946398,3.7738308963845384,3.8960027020714003,-0.12217180568686192,5676665.0,0.8516972553427056,1.0580414109629042,1.1536055246728527,1.090321713989415,0.013632430046683356,0.012321733495181286,1.0004981996063278,0.9878282678695576,0,V
2024-02-15,171.4393768310547,171.7634518732101,167.8937343759437,167.8937343759437,8723400,161.15479095458986,143.11254444122315,71.82127784946121,2.2887566946240554,2.2421210719292937,0.046635622694761736,8737980.0,0.9983314221364663,1.06381805849857,1.1979339582035415,1.1260703356495538,0.013350239232842731,0.0218145697905896,1.0018903185962627,0.9793183892717654,0,JPM
2024-02-15,488.56488037109375,488.74979405458623,485.4408311080291,485.91772783399097,61683000,465.9129669189453,432.7317074584961,67.10046057938843,6.46834398048577,6.38840489267769,0.07993908780807946,76142795.0,0.8100963459510516,1.0486183366003832,1.1290249176343352,1.07667859527865,0.013239477990257266,0.006899800560894898,1.0003784833722638,0.9936056614206659,0,SPY
2024-02-15,200.4499969482422,200.8800048828125,188.86000061035156,189.16000366210938,120831800,221.64079986572267,233.2142497253418,49.5564188293427,-8.553999378415,-10.958882059927857,2.4048826815128574,110829510.0,1.090249338826816,0.9043912360435508,0.8595100736096258,0.9503741736482686,-0.04267398108578526,0.06221180550417671,1.0021452129763881,0.9421801121758897,0,TSLA
2024-02-15,400.41412353515625,402.9452806494458,398.17844942358096,401.97025586986575,21825500,381.43623046875,341.2497853088379,55.35719683790351,6.739108770392761,7.785639894285527,-1.0465311238927661,25296335.0,0.8627929698116348,1.0497537767796314,1.1733754591897354,1.1177625507472264,0.016830347318658127,-0.007155251299456822,1.0063213482380258,0.9944165952693249,0,MSFT
2024-02-16,169.50999450683594,170.4199981689453,167.1699981689453,168.74000549316406,48107700,156.4057989501953,137.23235019683838,60.563921951522325,4.672828179540261,4.711723015737532,-0.03889483619727141,52583350.0,0.9148846545531998,1.083783310111241,1.2352043396742847,1.1397152254978917,0.02756668238433467,-0.0017079419299743659,1.0053684366208429,0.9861955258467296,1,AMZN
2024-02-16,486.1318359375,489.4018321652925,485.39218120492103,488.26318443249403,75532900,466.7840686035156,433.18559783935547,63.052600356436756,6.277944813842794,6.366312876910712,-0.088368063067918,74377715.0,1.0155313322007808,1.041449073855214,1.1222252964138928,1.0775613753821518,0.012914078753422608,-0.004979982252808934,1.006726562603098,0.9984784894180967,0,SPY
2024-02-16,173.8699951171875,180.3300018310547,173.25,177.4499969482422,53940300,154.99719924926757,121.07724967956543,57.6802895145225,5.563015156083168,6.5978049980129745,-1.0347898419298067,83036955.0,0.649593906712981,1.1217621735059133,1.4360253109262033,1.2801513055464366,0.03199525687185833,-0.01634984996300548,1.037154235321127,0.9964341454270496,1,AMD
2024-02-16,397.9520263671875,402.1180944108835,397.3414034034858,401.7930660229395,22296500,382.07104125976565,341.7478224182129,52.971331812918784,5.933888007191797,7.415289516866782,-1.4814015096749849,24944605.0,0.8938405719393031,1.0415655294236879,1.1644610448466732,1.1179911507737637,0.014911063681119796,-0.006148876933289693,1.0104687695190977,0.9984655864947443,0,MSFT
2024-02-16,81.29000091552734,83.66999816894531,80.3499984741211,82.25,13711900,78.99140014648438,65.10200002670288,49.78632884508818,1.307972829694421,1.7660727689437439,-0.4580999392493228,12543350.0,1.093160917936596,1.0290993799930164,1.2486559688209984,1.2133482859832951,0.01609020562139744,-0.032261893862769675,1.0292778598427026,0.9884364321463958,0,SHOP
